Name,Cannes 2026,Checked,Director,Link,Place,Year
Shoplifters,Yes,No,Hirokazu Kore-eda,,"Tokyo, Japan",2018
Her Private Hell,Yes,No,Nicolas Winding Refn,,"Tokyo, Japan",2026
Full Phil,Yes,No,Quentin Dupieux,,"Paris, Ile-de-France, France",2026
Roma Elastica,Yes,No,Bertrand Mandico,,"Rome, Italy",2026
John Lennon: The Last Interview,Yes,No,Steven Soderbergh,,"New York, USA",2026
Jim Queen,Yes,No,Nicolas Athane & Marco Nguyen,,"Paris, France",2026
The Neon Demon,Yes,Yes,Nicolas Winding Refn,,"Los Angeles, USA",2016
Trainspotting,No,Yes,Danny Boyle,,"Princes Street, Edinburgh, United Kingdom",1996
A Clockwork Orange,No,Yes,Stanley Kubrick,,"Southmere Lake, Thamesmead, London",1971
Blow-Up,No,Yes,Michelangelo Antonioni,,"Maryon Park, Charlton, London",1966
Control,No,Yes,Anton Corbijn,,"Macclesfield, Cheshire",2007
"Lock, Stock and Two Smoking Barrels",No,Yes,Guy Ritchie,,"Park Street, Borough, London",1998
The Wailing,Yes,Yes,Na Hong-Jin,,"Gokseong, South Korea",2016
"Sex, Lies, and Videotape",No,Yes,Steven Soderbergh,https://movie.douban.com/subject/1292341/,"Baton Rouge, Louisiana, USA",1989
Se7en,No,Yes,David Fincher,https://movie.douban.com/subject/1292223/,"New York City, USA",1995
The Lives of Others,No,Yes,Florian Henckel von Donnersmarck,https://movie.douban.com/subject/1900841/,"East Berlin, Germany",2006
Once Upon a Time in Hollywood,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/27087724/,"Los Angeles, USA",2019
Death Proof,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/2080007/,"Austin, Texas, USA",2007
Inglourious Basterds,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/1438652/,"Paris, France",2009
Fargo,No,Yes,Joel & Ethan Coen,https://movie.douban.com/subject/1292067/,"Brainerd, Minnesota, USA",1996
Reservoir Dogs,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/1299603/,"Los Angeles, USA",1992
Paprika,No,Yes,Satoshi Kon,https://movie.douban.com/subject/1865703/,"Tokyo, Japan",2006
Infernal Affairs,No,Yes,Andrew Lau & Alan Mak,https://movie.douban.com/subject/1307914/,Hong Kong,2002
Léon: The Professional,No,Yes,Luc Besson,https://movie.douban.com/subject/1295644/,"New York City, USA",1994
Dunkirk,No,Yes,Christopher Nolan,https://movie.douban.com/subject/26607693/,"Dunkirk, France",2017
Mulholland Drive,No,Yes,David Lynch,https://movie.douban.com/subject/1292217/,"Los Angeles, USA",2001
Anna,No,Yes,Luc Besson,https://movie.douban.com/subject/27166976/,"Moscow, Russia",2019
Let the Bullets Fly,No,Yes,Jiang Wen,https://movie.douban.com/subject/3742360/,"Sichuan, China",2010
The Dark Knight,No,Yes,Christopher Nolan,https://movie.douban.com/subject/1851857/,"Chicago, USA",2008
A Chinese Odyssey Part Two: Cinderella,No,Yes,Jeffrey Lau,https://movie.douban.com/subject/1292213/,"Ningxia, China",1995
Kung Fu Hustle,No,Yes,Stephen Chow,https://movie.douban.com/subject/1291543/,"Shanghai, China",2004
Django Unchained,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/6307447/,"Mississippi, USA",2012
Ashes of Time Redux,No,Yes,Wong Kar-wai,https://movie.douban.com/subject/3726072/,"Dunhuang, Gansu, China",2008
Pulp Fiction,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/1291832/,"Los Angeles, USA",1994
The Master,No,Yes,Paul Thomas Anderson,https://movie.douban.com/subject/6433905/,"San Francisco, USA",2012
Zodiac,No,Yes,David Fincher,https://movie.douban.com/subject/1781126/,"San Francisco, USA",2007
The Godfather,No,Yes,Francis Ford Coppola,https://movie.douban.com/subject/1291841/,"New York City, USA",1972
Malèna,No,Yes,Giuseppe Tornatore,https://movie.douban.com/subject/1292402/,"Sicily, Italy",2000
Seven Samurai,No,Yes,Akira Kurosawa,https://movie.douban.com/subject/1295399/,Japan,1954
Jojo Rabbit,No,Yes,Taika Waititi,https://movie.douban.com/subject/30170546/,Germany,2019
No Country for Old Men,No,Yes,Joel & Ethan Coen,https://movie.douban.com/subject/1857099/,"West Texas, USA",2007
2001: A Space Odyssey,No,Yes,Stanley Kubrick,https://movie.douban.com/subject/1292226/,"Twyfelfontein, Namibia",1968
Memories of Matsuko,No,Yes,Tetsuya Nakashima,https://movie.douban.com/subject/1787291/,"Tokyo, Japan",2006
Pan's Labyrinth,No,Yes,Guillermo del Toro,https://movie.douban.com/subject/1767042/,Spain,2006
Love Letter,No,Yes,Shunji Iwai,https://movie.douban.com/subject/1292220/,"Otaru, Hokkaido, Japan",1995
